Sector,Value chain,Includes
Livestock,Dairy,"Milk production, collection, processing"
Livestock,Beef and livestock,"Cattle, sheep and goats, feedlots, livestock trade"
Livestock,Poultry,"Layers, broilers, hatcheries, feed"
Food crops,Maize,"Maize and cereals production, trading, milling"
Food crops,Pulses,"Beans, green grams, cowpeas, pigeon peas"
Cash crops,Tea,"Smallholder tea, factories"
Cash crops,Coffee,"Cherry production, cooperatives, milling"
Cash crops,Sugarcane,"Outgrowers, millers"
Horticulture,Horticulture,"Vegetables, fruits, cut flowers"
Horticulture,Avocado and macadamia,Tree crops for export
Industrial crops,Edible oils,"Sunflower, soya, oil processing"
Blue economy,Fisheries and aquaculture,"Capture fisheries, fish farming, cold chain"
