Constraint,Evidence in the data,Financing response
Lack of collateral,"Collateral-to-loan ratios of 93% to 112% for MSMEs (CBK, 2024)","Cash-flow lending, movable asset registration, partial credit guarantees"
Seasonal cash flow,Inflows concentrated in harvest months,Seasonal working capital with harvest-aligned repayment
Buyer payment delays,Receivable days rising; offtaker concentration,Invoice and receivables finance; assignment of proceeds
Climate risk,"Rainfall and vegetation anomalies; 78% of farmers rain-fed (CBK, July 2026)",Insurance-linked lending; climate-adjusted limits
Input cost pressure,Input cost index rising faster than farm-gate prices,Input finance paid directly to suppliers
Long production cycle,"Cash cycle above 120 days (sugarcane, beef, maize)",Longer tenor and grace periods matched to cycle
Price volatility,High monthly price volatility and harvest-time price dips,Warehouse receipt finance; structured trade finance
Fragmented suppliers,Many small producers selling through aggregators,Aggregator and cooperative finance with on-lending
Weak records,Unregistered or first-time borrowers,Alternative data scoring from M-Pesa and buyer payment records
Export dependence,High share of sales to export markets,Pre-shipment and trade finance; FX hedging
