Code,Domain,Variable,Definition,Unit,Frequency,Granularity,Source,Access,Phase,In prototype
A01,Credit and portfolio,Outstanding balance,Principal outstanding at month end,KES,Monthly,Loan,Lender core banking system,Confidential,MVP,True
A02,Credit and portfolio,Loan amount disbursed,Original principal at disbursement,KES,Event,Loan,Lender core banking system,Confidential,MVP,True
A03,Credit and portfolio,Days past due,Days since the oldest unpaid instalment,Days,Monthly,Loan,Lender core banking system,Confidential,MVP,True
A04,Credit and portfolio,NPL flag,1 if days past due at least 90 or classified substandard or worse,Flag,Monthly,Loan,"Lender, CBK Prudential Guidelines",Confidential,MVP,True
A05,Credit and portfolio,NPL ratio,Balance with NPL flag divided by total balance,%,Monthly,Segment,Derived,Restricted,MVP,True
A06,Credit and portfolio,PAR30,Balance at least 30 days past due divided by total balance,%,Monthly,Segment,Derived,Restricted,MVP,True
A07,Credit and portfolio,Restructured flag,1 if terms modified due to financial difficulty,Flag,Monthly,Loan,Lender core banking system,Confidential,MVP,True
A08,Credit and portfolio,Product type,"Seasonal working capital, term loan, overdraft, asset finance, receivables, warehouse receipt, input, contract farming, insurance-linked, group",Category,Event,Loan,Lender product master,Confidential,MVP,True
A09,Credit and portfolio,Tenor,Contractual term,Months,Event,Loan,Lender core banking system,Confidential,MVP,True
A10,Credit and portfolio,Interest rate,Annual contractual rate,%,Event,Loan,Lender core banking system,Confidential,MVP,True
A11,Credit and portfolio,Collateral type,"Title deed, chattels, receivables, warehouse receipt, group guarantee, unsecured",Category,Event,Loan,Lender collateral register,Confidential,MVP,True
A12,Credit and portfolio,Repayment structure,"Monthly, seasonal balloon, harvest-linked or buyer deduction",Category,Event,Loan,Lender core banking system,Confidential,Phase 2,False
A13,Credit and portfolio,Utilisation,Drawn balance divided by approved limit,%,Monthly,Loan,Lender core banking system,Confidential,MVP,True
A14,Credit and portfolio,Write-off amount,Balance written off in the month,KES,Monthly,Loan,Lender finance system,Confidential,Phase 2,False
A15,Credit and portfolio,Recoveries,Cash recovered on written-off or NPL loans,KES,Monthly,Loan,Lender collections system,Confidential,Phase 2,False
